Wavelength [nm], Intensity [64 bit] LiF_1.tif
6.69220669736, 94.34375
6.70032977545883, 101.109375
6.70845148834184, 114.578125
6.71657183903681, 124.078125
6.72469083057152, 135.671875
6.732808465973751, 136.921875
6.740924748271279, 137.5625
6.74903968049189, 127.203125
6.75715326566336, 115.59375
6.765265506813471, 106.28125
6.77337640697, 105.421875
6.78148596916073, 97.328125
6.78959419641344, 95.0
6.7977010917559095, 93.125
6.8058066582159205, 89.796875
6.81391089882125, 89.25
6.82201381659968, 87.875
6.83011541457899, 93.09375
6.8382156957869595, 92.34375
6.84631466325137, 89.28125
6.85441232, 87.703125
6.86250866906063, 88.3125
6.87060371346104, 87.21875
6.878697456229009, 89.953125
6.886789900392319, 88.890625
6.89488104897875, 86.578125
6.90297090501608, 88.921875
6.91105947153209, 92.796875
6.91914675155456, 89.171875
6.927232748111271, 91.125
6.93531746423, 97.171875
6.94340090293853, 99.5625
6.95148306726464, 100.453125
6.95956396023611, 102.546875
6.96764358488072, 118.0625
6.975721944226249, 137.109375
6.98379904130048, 162.171875
6.99187487913119, 200.953125
6.99994946074616, 223.828125
7.00802278917317, 220.40625
7.01609486744, 194.21875
7.02416569857443, 161.0
7.032235285604239, 129.46875
7.04030363155721, 117.9375
7.04837073946112, 111.890625
7.0564366123437505, 107.390625
7.06450125323288, 105.234375
7.07256466515629, 101.796875
7.08062685114176, 103.625
7.088687814217071, 103.140625
7.09674755741, 101.984375
7.10480608374833, 102.203125
7.11286339625984, 99.90625
7.120919497972309, 97.890625
7.12897439191352, 90.546875
7.13702808111125, 89.90625
7.145080568593279, 91.140625
7.15313185738739, 90.8125
7.161181950521359, 93.703125
7.16923085102297, 104.03125
7.17727856192, 106.578125
7.18532508624023, 113.3125
7.19337042701144, 113.921875
7.201414587261409, 113.1875
7.2094575700179195, 106.640625
7.21749937830875, 101.5
7.2255400151616795, 94.953125
7.23357948360449, 90.359375
7.24161778666496, 88.171875
7.2496549273708695, 85.78125
7.25769090875, 84.0
7.26572573383013, 86.203125
7.27375940563904, 92.734375
7.281791927204511, 97.25
7.2898233015543195, 104.25
7.2978535317162505, 119.390625
7.30588262071808, 132.03125
7.31391057158759, 146.140625
7.32193738735256, 153.90625
7.329963071040771, 145.65625
7.337987625679999, 134.453125
7.34601105429803, 125.640625
7.3540333599226395, 118.859375
7.362054545581611, 108.5
7.37007461430272, 99.953125
