Profile 1             Profile 2             Profile 3             Profile 4             Profile 5             Profile 6             Profile 7             Profile 8             Profile 9             Profile 10             
x       y           x       y           x       y           x       y           x       y           x       y           x       y           x       y           x       y           x       y           
0.053006505  412.42464            -          -              0.053830831  -260.63116            0.04998677  166.30225            0.051812741  -320.06143            0.052181159  -278.12386            0.053472498  172.64136            0.051809197  -81.971686            0.051949059  574.25186            0.052937559  -269.30864            
0.055530625  231.3103            -          -              0.056394204  -288.99363            0.052367092  138.44851            0.054280015  -313.68378            0.054665976  -285.21133            0.056018808  165.44149            0.054276301  -61.436742            0.054422824  411.51265            0.055458395  -281.24429            
0.058054744  144.09696            -          -              0.058957577  -283.04718            0.054747414  139.08787            0.056747288  -312.91082            0.057150793  -287.76387            0.058565117  165.55494            -          -              0.056896588  251.52995            0.057979231  -274.58203            
0.060578863  126.85658            -          -              0.06152095  -277.40646            0.057127737  138.00988            -          -              0.05963561  -282.19703            0.061111426  166.03972            -          -              0.059370353  166.19768            0.060500067  -266.68569            
0.063102983  122.6473            -          -              0.064084323  -278.091            0.059508059  140.25263            -          -              0.062120427  -290.8803            0.063657736  168.78517            -          -              0.061844118  148.16652            0.063020903  -268.19745            
0.065627102  120.65842            -          -              0.066647696  -272.43285            0.061888381  148.80085            -          -              -          -              0.066204045  172.20006            -          -              0.064317882  148.2118            0.065541739  -268.15263            
0.068151221  123.73256            -          -              -          -              0.064268704  145.84542            -          -              -          -              -          -              -          -              0.066791647  150.37422            0.068062576  -270.38016            
0.07067534  131.56871            -          -              -          -              0.066649026  146.07261            -          -              -          -              -          -              -          -              0.069265412  151.9484            0.070583412  -274.25876            
0.07319946  139.65408            -          -              -          -              0.069029349  145.69641            -          -              -          -              -          -              -          -              -          -              -          -              
-          -              -          -              -          -              0.071409671  147.67056            -          -              -          -              -          -              -          -              -          -              -          -              
-          -              -          -              -          -              0.073789993  149.16184            -          -              -          -              -          -              -          -              -          -              -          -              
